비도오고그래서(Feat.신용재),헤이즈(Heize),Rap/Hip-hop,F
빨간맛(RedFlavor),RedVelvet(레드벨벳),Dance,F
Artist,지코(ZICO),Rap/Hip-hop,M
널너무모르고,헤이즈(Heize),Rap/Hip-hop,F
마지막처럼,BLACKPINK,Dance,F
나로말할것같으면,마마무,Dance,F
남이될수있을까,"볼빨간사춘기,스무살",Folk,F
매일듣는노래(ADailySong),황치열,Ballad,M
FIVE,Apink(에이핑크),Dance,F
"무제(無題)(Untitled,2014)",G-DRAGON,R&B/Soul,M
처음부터너와나,볼빨간사춘기,Drama,F
ShapeofYou,EdSheeran,Pop,M
NewFace,싸이(PSY),Dance,M
SIGNAL,TWICE(트와이스),Dance,F
오늘취하면(Feat.창모)(Prod.SUGA),수란(SURAN),R&B/Soul,MIX
WhyDon`tYouKnow(Feat.넉살),청하,Dance,MIX
팔레트(Feat.G-DRAGON),아이유,R&B/Soul,MIX
REALLYREALLY,WINNER,Dance,M
미치고싶다,한동근,Ballad,M
NEVER,국민의아들,Dance,M
ILUVIT,싸이(PSY),Dance,M
ANTI(Feat.G.Soul),지코(ZICO),Rap/Hip-hop,M
FANXYCHILD(Feat.FANXYCHILD),지코(ZICO),Rap/Hip-hop,M
밤편지,아이유,Ballad,F
BLUEMOON(Prod.GroovyRoom),"효린,창모(CHANGMO)",Dance,MIX
좋니,윤종신,Ballad,M
LONELY,씨스타,R&B/Soul,F
아침에(Feat.Bryn),양홍원(YoungB),Rap/Hip-hop,MIX
첫눈처럼너에게가겠다,에일리,Drama,F
맞지?,언니쓰,Dance,F
MarryMe,"마크툽(MAKTUB),구윤회",Ballad,M
사랑이잘(With오혁),아이유,R&B/Soul,MIX
좋다고말해,볼빨간사춘기,Folk,F
KNOCKKNOCK,TWICE(트와이스),Dance,F
아름다워,창모(CHANGMO),Rap/Hip-hop,M
사랑앓이(With김나영),FTISLAND,Ballad,MIX
봄날,방탄소년단,Rap/Hip-hop,M
TOMBOY,혁오(HYUKOH),Rock,M
"아재개그(Narr.김대희,김준호)",마마무,Dance,MIX
먹구름(Feat.nafla),헤이즈(Heize),Rap/Hip-hop,MIX
Outside(Feat.Beenzino),Crush,R&B/Soul,M
나만안되는연애,볼빨간사춘기,Folk,F
돌아오지마(Feat.용준형Of비스트),헤이즈(Heize),Rap/Hip-hop,MIX
불장난,BLACKPINK,Dance,F
"ALLIWANNADO(K)(Feat.Hoody,Loco)",박재범,R&B/Soul,MIX
우주를줄게,볼빨간사춘기,Folk,F
Closer(Feat.Halsey),TheChainsmokers,Electronica,MIX
"작두(Feat.넉살,HuckleberryP)",딥플로우,Rap/Hip-hop,M
여보세요,뉴이스트,Ballad,M
On&On(Feat.챈슬러),린,R&B/Soul,MIX
부담이돼(Feat.휘인Of마마무),정키,Ballad,MIX
오빠야,신현희와김루트,Folk,MIX
CALLINGYOU,하이라이트(Highlight),Dance,M
천재(Behindthescene),지코(ZICO),Rap/Hip-hop,M
D(halfmoon)(Feat.개코),DEAN,R&B/Soul,M
개소리(BULLSHIT),G-DRAGON,Rap/Hip-hop,M
Decalcomanie(데칼코마니),마마무,Dance,F
Gucci,제시(Jessi),Rap/Hip-hop,F
OhLittleGirl,슬레이트,Dance,F
LoveYourself,JustinBieber,Pop,M
TT,TWICE(트와이스),Dance,F
어디에도,엠씨더맥스,Ballad,M
소나기,아이오아이(I.O.I),Ballad,F
Young&Free,"시우민(XIUMIN),마크(MARK)",Dance,M
SomethingJustLikeThis,"TheChainsmokers,Coldplay",Electronica,M
얼굴찌푸리지말아요,하이라이트(Highlight),Dance,M
그대라는사치,한동근,Ballad,M
너였다면,정승환,Drama,M
굿모닝(GoodMorning),케이시(Kassy),Drama,F
어땠을까(Feat.박정현),싸이(PSY),Rap/Hip-hop,MIX
심술,볼빨간사춘기,Folk,F
나야나(PICKME),PRODUCE101,Dance,M
SeeYouAgain(폴워커추모엔딩곡),"CharliePuth,WizKhalifa",ForeignMovie,M
지나쳐(Feat.DEAN),로꼬,Rap/Hip-hop,M
오랜날오랜밤,악동뮤지션,Folk,MIX
YouBetterKnow,RedVelvet(레드벨벳),Dance,F
Beautiful,Crush,Drama,M
마에스트로(Maestro),창모(CHANGMO),Rap/Hip-hop,M
Rookie,RedVelvet(레드벨벳),Dance,F
CHEERUP,TWICE(트와이스),Dance,F
바람이불었으면좋겠어,길구봉구,Ballad,F
Handsonme,PRODUCE101,Dance,M
She`saBaby,지코(ZICO),R&B/Soul,M
열어줘,Knock,Dance,M
알듯말듯해,"서은광(비투비),임현식(비투비),육성재(비투비)",Drama,M
FRUITY(Prod.GroovyRoom),"효린,키썸(Kisum)",Dance,F
이소설의끝을다시써보려해,한동근,Ballad,M
울고싶지않아,세븐틴,Dance,M
You(=I),볼빨간사춘기,Folk,F
SUPERSTAR,G-DRAGON,Rap/Hip-hop,M
에라모르겠다,BIGBANG,Rap/Hip-hop,M
피땀눈물,방탄소년단,Rap/Hip-hop,M
이런엔딩,아이유,Ballad,F
숨,박효신,Ballad,M
넌왜?(Feat.서사무엘),박보람,R&B/Soul,MIX
널사랑하지않아,어반자카파,Ballad,MIX
이지금,아이유,Ballad,F
내가저지른사랑,임창정,Ballad,M
오빠(PROD.BrotherSu),"유승우,산들(B1A4)",Ballad,M
Seoul(Feat.Killagramz),이효리,R&B/Soul,MIX
